label,tool,rep,seconds,mbps,cpu_user,cpu_sys,ok,timeout,bytes
rtt100ms/loss0.5pct,aria2-8,2,6.560,4.878,0.10,0.22,1,0,33554432
rtt100ms/loss0.5pct,axel-8,2,4.230,7.565,0.06,0.27,1,0,33554432
rtt100ms/loss0.5pct,bigcurl-8,2,6.147,5.206,0.25,0.37,1,0,33554432
rtt100ms/loss0.5pct,bigcurl-16,2,4.879,6.558,0.36,0.53,1,0,33554432
rtt100ms/loss0.5pct,bigcurl-auto,2,3.442,9.296,0.43,0.53,1,0,33554432
rtt100ms/loss0.5pct,curl,3,99.707,0.321,0.11,0.39,1,0,33554432
rtt100ms/loss0.5pct,aria2-8,3,8.510,3.760,0.08,0.16,1,0,33554432
rtt100ms/loss0.5pct,axel-8,3,7.160,4.469,0.05,0.33,1,0,33554432
rtt100ms/loss0.5pct,bigcurl-8,3,6.759,4.734,0.29,0.43,1,0,33554432
rtt100ms/loss0.5pct,bigcurl-16,3,5.687,5.627,0.33,0.46,1,0,33554432
rtt100ms/loss0.5pct,bigcurl-auto,3,3.538,9.044,0.43,0.57,1,0,33554432
rtt250ms/loss0pct,curl,1,4.729,6.767,0.02,0.10,1,0,33554432
rtt250ms/loss0pct,aria2-8,1,6.611,4.840,0.13,0.22,1,0,33554432
rtt250ms/loss0pct,axel-8,1,7.375,4.339,0.04,0.34,1,0,33554432
rtt250ms/loss0pct,bigcurl-8,1,7.743,4.133,0.25,0.45,1,0,33554432
rtt250ms/loss0pct,bigcurl-16,1,7.904,4.048,0.39,0.63,1,0,33554432
rtt250ms/loss0pct,bigcurl-auto,1,4.865,6.578,0.40,0.68,1,0,33554432
rtt250ms/loss0pct,curl,2,4.730,6.765,0.03,0.11,1,0,33554432
rtt250ms/loss0pct,aria2-8,2,6.657,4.807,0.13,0.23,1,0,33554432
rtt250ms/loss0pct,axel-8,2,7.088,4.515,0.05,0.33,1,0,33554432
rtt250ms/loss0pct,bigcurl-8,2,7.750,4.129,0.30,0.43,1,0,33554432
rtt250ms/loss0pct,bigcurl-16,2,7.637,4.190,0.36,0.59,1,0,33554432
rtt250ms/loss0pct,bigcurl-auto,2,4.853,6.593,0.38,0.57,1,0,33554432
rtt250ms/loss0pct,curl,3,4.727,6.769,0.02,0.09,1,0,33554432
rtt250ms/loss0pct,aria2-8,3,6.644,4.817,0.15,0.21,1,0,33554432
rtt250ms/loss0pct,axel-8,3,7.375,4.339,0.05,0.36,1,0,33554432
rtt250ms/loss0pct,bigcurl-8,3,7.722,4.144,0.23,0.44,1,0,33554432
rtt250ms/loss0pct,bigcurl-16,3,7.627,4.196,0.40,0.59,1,0,33554432
rtt250ms/loss0pct,bigcurl-auto,3,4.854,6.593,0.41,0.62,1,0,33554432
rtt250ms/loss0.1pct,curl,1,4.729,6.766,0.02,0.11,1,0,33554432
rtt250ms/loss0.1pct,aria2-8,1,7.502,4.265,0.10,0.18,1,0,33554432
rtt250ms/loss0.1pct,axel-8,1,7.155,4.472,0.03,0.32,1,0,33554432
rtt250ms/loss0.1pct,bigcurl-8,1,8.688,3.683,0.21,0.42,1,0,33554432
rtt250ms/loss0.1pct,bigcurl-16,1,7.856,4.073,0.39,0.62,1,0,33554432
rtt250ms/loss0.1pct,bigcurl-auto,1,5.317,6.018,0.41,0.63,1,0,33554432
rtt250ms/loss0.1pct,curl,2,5.219,6.131,0.01,0.11,1,0,33554432
rtt250ms/loss0.1pct,aria2-8,2,6.084,5.260,0.13,0.22,1,0,33554432
rtt250ms/loss0.1pct,axel-8,2,7.132,4.487,0.04,0.25,1,0,33554432
rtt250ms/loss0.1pct,bigcurl-8,2,7.715,4.148,0.21,0.37,1,0,33554432
rtt250ms/loss0.1pct,bigcurl-16,2,8.786,3.642,0.35,0.59,1,0,33554432
